,Day/Eve,Number 1,Number 2,Number 3,Date
1,E,2.0,1.0,9.0,2019-06-14
3,E,1.0,4.0,8.0,2019-06-13
5,E,3.0,7.0,5.0,2019-06-12
7,E,6.0,4.0,0.0,2019-06-11
9,E,4.0,3.0,6.0,2019-06-10
11,E,9.0,3.0,2.0,2019-06-09
13,E,3.0,3.0,7.0,2019-06-08
15,E,7.0,9.0,8.0,2019-06-07
17,E,4.0,3.0,3.0,2019-06-06
19,E,2.0,2.0,6.0,2019-06-05
21,E,1.0,7.0,2.0,2019-06-04
23,E,0.0,3.0,3.0,2019-06-03
25,E,2.0,5.0,1.0,2019-06-02
27,E,1.0,2.0,6.0,2019-06-01
29,E,4.0,1.0,7.0,2019-05-31
31,E,7.0,9.0,8.0,2019-05-30
33,E,9.0,2.0,7.0,2019-05-29
35,E,9.0,7.0,4.0,2019-05-28
37,E,4.0,0.0,3.0,2019-05-27
39,E,8.0,7.0,6.0,2019-05-26
41,E,6.0,6.0,5.0,2019-05-25
43,E,5.0,1.0,4.0,2019-05-24
45,E,2.0,9.0,2.0,2019-05-23
47,E,0.0,0.0,1.0,2019-05-22
49,E,0.0,0.0,9.0,2019-05-21
51,E,5.0,0.0,3.0,2019-05-20
53,E,7.0,7.0,8.0,2019-05-19
55,E,0.0,7.0,6.0,2019-05-18
57,E,0.0,1.0,0.0,2019-05-17
59,E,9.0,4.0,5.0,2019-05-16
61,E,9.0,1.0,6.0,2019-05-15
63,E,8.0,2.0,5.0,2019-05-14
65,E,1.0,9.0,5.0,2019-05-13
67,E,1.0,1.0,7.0,2019-05-12
69,E,3.0,2.0,7.0,2019-05-11
71,E,0.0,0.0,6.0,2019-05-10
73,E,6.0,8.0,4.0,2019-05-09
75,E,9.0,4.0,4.0,2019-05-08
77,E,6.0,4.0,5.0,2019-05-07
79,E,4.0,7.0,3.0,2019-05-06
81,E,9.0,2.0,3.0,2019-05-05
83,E,3.0,6.0,9.0,2019-05-04
85,E,3.0,7.0,6.0,2019-05-03
87,E,4.0,1.0,3.0,2019-05-02
89,E,0.0,1.0,5.0,2019-05-01
91,E,7.0,1.0,7.0,2019-04-30
93,E,3.0,1.0,9.0,2019-04-29
95,E,4.0,6.0,2.0,2019-04-28
97,E,1.0,4.0,6.0,2019-04-27
99,E,0.0,7.0,5.0,2019-04-26
101,E,1.0,0.0,8.0,2019-04-25
103,E,0.0,9.0,1.0,2019-04-24
105,E,0.0,6.0,1.0,2019-04-23
107,E,9.0,8.0,5.0,2019-04-22
109,E,3.0,8.0,3.0,2019-04-21
111,E,0.0,9.0,6.0,2019-04-20
113,E,9.0,9.0,6.0,2019-04-19
115,E,1.0,3.0,2.0,2019-04-18
117,E,1.0,1.0,0.0,2019-04-17
119,E,0.0,3.0,3.0,2019-04-16
121,E,7.0,3.0,7.0,2019-04-15
123,E,3.0,6.0,4.0,2019-04-14
125,E,5.0,0.0,2.0,2019-04-13
127,E,4.0,2.0,4.0,2019-04-12
129,E,7.0,0.0,0.0,2019-04-11
131,E,9.0,2.0,1.0,2019-04-10
133,E,1.0,2.0,4.0,2019-04-09
135,E,7.0,1.0,0.0,2019-04-08
137,E,1.0,3.0,9.0,2019-04-07
139,E,9.0,7.0,5.0,2019-04-06
141,E,8.0,9.0,4.0,2019-04-05
143,E,5.0,6.0,1.0,2019-04-04
145,E,8.0,1.0,7.0,2019-04-03
147,E,3.0,1.0,3.0,2019-04-02
149,E,7.0,2.0,0.0,2019-04-01
151,E,8.0,9.0,3.0,2019-03-31
153,E,6.0,9.0,6.0,2019-03-30
155,E,8.0,5.0,4.0,2019-03-29
157,E,0.0,5.0,3.0,2019-03-28
159,E,4.0,6.0,5.0,2019-03-27
161,E,4.0,5.0,4.0,2019-03-26
163,E,4.0,3.0,1.0,2019-03-25
165,E,7.0,1.0,1.0,2019-03-24
167,E,7.0,6.0,9.0,2019-03-23
169,E,4.0,0.0,5.0,2019-03-22
171,E,0.0,0.0,6.0,2019-03-21
173,E,6.0,8.0,6.0,2019-03-20
175,E,9.0,5.0,9.0,2019-03-19
177,E,1.0,3.0,5.0,2019-03-18
179,E,1.0,8.0,6.0,2019-03-17
181,E,1.0,3.0,2.0,2019-03-16
183,E,4.0,2.0,1.0,2019-03-15
185,E,6.0,2.0,1.0,2019-03-14
187,E,0.0,8.0,8.0,2019-03-13
189,E,0.0,4.0,4.0,2019-03-12
191,E,0.0,1.0,0.0,2019-03-11
193,E,1.0,4.0,2.0,2019-03-10
195,E,9.0,6.0,5.0,2019-03-09
197,E,7.0,3.0,1.0,2019-03-08
199,E,3.0,7.0,0.0,2019-03-07
201,E,9.0,9.0,3.0,2019-03-06
203,E,1.0,7.0,7.0,2019-03-05
205,E,5.0,9.0,5.0,2019-03-04
207,E,4.0,7.0,7.0,2019-03-03
209,E,5.0,6.0,7.0,2019-03-02
211,E,2.0,8.0,1.0,2019-03-01
213,E,2.0,2.0,2.0,2019-02-28
215,E,0.0,0.0,0.0,2019-02-27
216,E,5.0,7.0,4.0,2019-02-27
218,E,0.0,1.0,3.0,2019-02-26
220,E,4.0,6.0,6.0,2019-02-25
221,E,8.0,2.0,9.0,2019-02-25
223,E,4.0,6.0,7.0,2019-02-24
225,E,4.0,0.0,8.0,2019-02-23
227,E,8.0,5.0,5.0,2019-02-22
228,E,0.0,6.0,7.0,2019-02-22
230,E,1.0,0.0,1.0,2019-02-21
232,E,8.0,9.0,9.0,2019-02-20
234,E,9.0,0.0,9.0,2019-02-19
235,E,8.0,5.0,3.0,2019-02-19
237,E,1.0,7.0,0.0,2019-02-18
239,E,1.0,6.0,7.0,2019-02-17
241,E,4.0,3.0,6.0,2019-02-16
243,E,7.0,5.0,9.0,2019-02-15
245,E,6.0,8.0,8.0,2019-02-14
247,E,3.0,9.0,3.0,2019-02-13
249,E,9.0,4.0,3.0,2019-02-12
250,E,4.0,1.0,7.0,2019-02-12
252,E,5.0,3.0,5.0,2019-02-11
254,E,6.0,8.0,2.0,2019-02-10
255,E,3.0,8.0,4.0,2019-02-10
257,E,0.0,0.0,3.0,2019-02-09
258,E,8.0,6.0,4.0,2019-02-09
260,E,4.0,9.0,6.0,2019-02-08
262,E,0.0,1.0,2.0,2019-02-07
264,E,1.0,1.0,1.0,2019-02-06
265,E,5.0,3.0,0.0,2019-02-06
267,E,3.0,1.0,9.0,2019-02-05
268,E,1.0,1.0,8.0,2019-02-05
270,E,5.0,8.0,2.0,2019-02-04
271,E,2.0,4.0,4.0,2019-02-04
273,E,2.0,9.0,0.0,2019-02-03
275,E,1.0,3.0,9.0,2019-02-02
277,E,8.0,3.0,2.0,2019-02-01
278,E,9.0,9.0,8.0,2019-02-01
280,E,4.0,8.0,0.0,2019-01-31
282,E,9.0,5.0,5.0,2019-01-30
284,E,6.0,6.0,9.0,2019-01-29
286,E,1.0,8.0,8.0,2019-01-28
288,E,8.0,4.0,8.0,2019-01-27
290,E,5.0,9.0,3.0,2019-01-26
292,E,4.0,7.0,9.0,2019-01-25
294,E,4.0,6.0,1.0,2019-01-24
296,E,7.0,7.0,5.0,2019-01-23
298,E,8.0,7.0,1.0,2019-01-22
300,E,2.0,9.0,4.0,2019-01-21
302,E,3.0,0.0,4.0,2019-01-20
304,E,6.0,6.0,2.0,2019-01-19
306,E,3.0,6.0,1.0,2019-01-18
308,E,9.0,6.0,2.0,2019-01-17
310,E,6.0,1.0,8.0,2019-01-16
312,E,3.0,2.0,9.0,2019-01-15
314,E,1.0,2.0,4.0,2019-01-14
316,E,8.0,9.0,9.0,2019-01-13
318,E,9.0,8.0,7.0,2019-01-12
320,E,8.0,3.0,4.0,2019-01-11
322,E,5.0,5.0,2.0,2019-01-10
324,E,2.0,0.0,6.0,2019-01-09
326,E,2.0,3.0,9.0,2019-01-08
328,E,1.0,1.0,7.0,2019-01-07
330,E,4.0,4.0,0.0,2019-01-06
332,E,1.0,6.0,0.0,2019-01-05
334,E,4.0,0.0,9.0,2019-01-04
336,E,1.0,2.0,1.0,2019-01-03
338,E,3.0,3.0,3.0,2019-01-02
340,E,3.0,4.0,3.0,2019-01-01
342,E,4.0,4.0,6.0,2018-12-31
344,E,3.0,1.0,8.0,2018-12-30
346,E,3.0,8.0,0.0,2018-12-29
